name,url,href,author,comment_count,follower
Steins Gate,https://i.pinimg.com/236x/d7/cd/ed/d7cdeda637cfb0efb5d5e4b621da2a82.jpg,/pin/29977153761579804/,Author not found,Comments,17k
Steins Gate,https://i.pinimg.com/236x/b5/93/35/b59335ae0c297339a95f14b43c319fab.jpg,/pin/18436679715901853/,Author not found,1 Comment,4k
Steins Gate,https://i.pinimg.com/236x/1a/12/da/1a12daa7d03249e82a9911b183f2515f.jpg,/pin/27866091440097450/,Estrelinha,Comments,937followers
Steins Gate,https://i.pinimg.com/236x/1f/52/99/1f52990bb4207a32bd0236d0d613e5e7.jpg,/pin/18436679715681083/,Author not found,Comments,15k
Steins Gate,https://i.pinimg.com/videos/thumbnails/originals/89/4d/35/894d35465938e5c02ac79ff0d4d661e8.0000000.jpg,/pin/2744449765665330/,Irregular Spectre,Comments,347followers
Steins Gate,https://i.pinimg.com/236x/78/2a/fb/782afb29cf830eb98a02c5fac2741868.jpg,/pin/334533078591009492/,Author not found,Comments,64
Steins Gate,https://i.pinimg.com/474x/7e/d0/50/7ed050a4f3d4f92905916fe71bdacd49.jpg,/pin/765541636690420335/,Monde ADN | Animés & Mangas | Boutique Figurines,Comments,127
Steins Gate,https://i.pinimg.com/236x/7b/2e/d0/7b2ed0cbc5201c3a7a6d5a63003e03d4.jpg,/pin/21814379431185525/,Alvin Cañete,Comments,26followers
Steins Gate,https://i.pinimg.com/236x/8e/55/cd/8e55cd2b493a08836387e1cc9bb97611.jpg,/pin/27866091439976622/,Author not found,Comments,1k
Steins Gate,https://i.pinimg.com/236x/42/55/d8/4255d83c9d4bd19c113db36c20f2ed2b.jpg,/pin/100697741661238366/,Author not found,Comments,4k
Steins Gate,https://i.pinimg.com/videos/thumbnails/originals/46/75/2d/46752da2adb306452f3bf7195391da1a.0000000.jpg,/pin/28288303902530013/,Author not found,6 Comments,25k
Steins Gate,https://i.pinimg.com/236x/c0/84/5b/c0845ba399b2f3e093fb4ff314b71776.jpg,/pin/50454458318943056/,Author not found,Comments,5M
Steins Gate,https://i.pinimg.com/236x/2e/03/94/2e039409fd47e1dc96b3b0956e92de8f.jpg,/pin/6614730696297034/,Author not found,1 Comment,19
Steins Gate,https://i.pinimg.com/236x/2a/7c/b5/2a7cb58399154b413584435a0c4f0bc6.jpg,/pin/210754457550825258/,Day,Comments,29followers
Steins Gate,https://i.pinimg.com/236x/da/bd/27/dabd273cccf17e8cab87aac3dca62ffa.jpg,/pin/93168286035209358/,mistaeko,1 Comment,11followers
Steins Gate,https://i.pinimg.com/236x/7f/c3/12/7fc3124c1644c1ded65858b752f81b40.jpg,/pin/596023331910643208/,glow sin,Comments,78followers
Steins Gate,https://i.pinimg.com/236x/15/c9/84/15c98429337a7c8729c929050d7de164.jpg,/pin/132856257751715404/,Author not found,Comments,16k
Steins Gate,https://i.pinimg.com/474x/90/c0/f3/90c0f3c04ad1487ca259338cfb83a396.jpg,/pin/64317100923621912/,Zenden,1 Comment,4
